,Month,NYC,MANHATTAN,PERCENTAGE
0,January,18101,3178,0.17557041047455943
1,February,15985,3195,0.19987488270253362
2,March,18471,3479,0.18834930431487196
3,April,18331,3540,0.19311548742567236
4,May,20052,3432,0.17115499700777978
5,June,19433,2956,0.15211238614727526
6,July,19867,3055,0.15377258770825994
7,August,19678,2844,0.14452688281329404
8,September,19492,2744,0.14077570285245228
9,October,19666,2831,0.14395403234007934
10,November,19315,2838,0.14693243593062386
11,December,19214,2634,0.13708754033517226
